SKU,"In stock?",Stock
TIM001,1,1
BVK001,1,1
BVK002,1,1
NYN001,1,1
NYN002,1,1
BVK003,1,1
BVK004,1,1
BVK005,1,1
BVK006,1,1
BVK007,1,1
BVK008,1,1
BVK009,1,1
BVK010,1,1
BVK011,1,1
MAJ001,1,1
MAJ002,1,1
MAJ003,1,1
RRB001,1,1
RRB002,1,1
RRB003,1,1
RRB004,1,1
RRB008,1,1
RRB009,1,1
RRB005,1,1
RRB010,1,1
RRB006,1,1
RRB007,1,1
TIM002,1,1
TIM003,1,1
TIM004,1,1
TIM005,1,1
TIM006,1,1
TIM007,1,1
TIM008,1,1
TIM009,1,1
TIM010,1,1
GIN001,1,1
GIN002,1,1
GIN003,1,1
GIN004,1,1
GIN005,1,1
GIN006,1,1
GIN007,1,1
GIN008,1,1
GIN009,1,1
GIN010,1,1
GIN011,1,1
GIN012,1,1
HOG001,1,1
OLI001,1,1
OLI002,1,1
OLI003,1,1
BBR001,1,1
BBR002,1,1
BBR003,1,1
BBR004,1,1
BBR005,1,1
BBR006,1,1
BBR007,1,1
KLO001,1,1
KLO002,1,1
JMT001,1,1
JMT002,1,1
JMT003,1,1
JMT004,1,1
JMT005,1,1
FIS001,1,1
FIS002,1,1
FIS003,1,1
FIS004,1,1
FIS005,1,1
FIS006,1,1
FIS007,1,1
FIS008,1,1
FJB001,1,1
FJB002,1,1
FJB003,1,1
FJB004,1,1
FJB005,1,1
FJB006,1,1
FJB007,1,1
FJB008,1,1
BEN001,1,1
BEN002,1,1
BEN003,1,1
BEN004,1,1
BEN005,1,1
BEN006,1,1
BEN007,1,1
BEN008,1,1
BEN009,1,1
SNA001,1,1
SNA002,1,1
SNA003,1,1
SNA004,1,1
SNA005,1,1
SNA006,1,1
NYN003,1,1
NYN004,1,1
NYN005,1,1
NYN006,1,1
NYN007,1,1
KLO003,1,1
KLO004,1,1
KLO005,1,1
KLO006,1,1
KLO007,1,1
VAX001,1,1
JMT006,1,1
JMT007,1,1
FRD001,1,1
FRD002,1,1
FRD003,1,1
FRD004,1,1
FRD005,1,1
FRD006,1,1
APE001,1,1
APE002,1,1
GGB001,1,1
SOB001,1,1
MAJ004,1,1
SUB001,1,1
SUB002,1,1
SUB003,1,1
SUB004,1,1
PIN001,1,1
PIN002,1,1
PIN003,1,1
PIN004,1,1
PIN005,1,1
PIN006,1,1
PIN007,1,1
HOG002,1,1
SUB005,1,1
BWR001,1,1
BWR002,1,1
BWR003,1,1
BWR004,1,1
BWR005,1,1
BWR006,1,1
BWR007,1,1
MAJ005,1,1
MAJ006,1,1
MAJ007,1,1
MAJ008,1,1
MAJ009,1,1
MAJ010,1,1
MAJ011,1,1
MAJ012,1,1
MAJ013,1,1
MAJ014,1,1
FRI001,1,1
FRI002,1,1
PIN008,1,1
APE003,1,1
APE004,1,1
APE005,1,1
SOB002,1,1
SOB003,1,1
SOB004,1,1
SOB005,1,1
SOB006,1,1
SOB007,1,1
HYL001,1,1
HYL002,1,1
HYL003,1,1
HYL004,1,1
HYL005,1,1
JMT008,1,1
JMT009,1,1
JMT010,1,1
JMT011,1,1
JMT012,1,1
NYN008,1,1
NYN009,1,1
NYN010,1,1
NYN011,1,1
NYN012,1,1
NYN013,1,1
NYN014,1,1
NYN015,1,1
NYN016,1,1
NYN017,1,1
NYN018,1,1
NYN019,1,1
NYN020,1,1
NYN021,1,1
NYN022,1,1
NYN023,1,1
JMT013,1,1
JMT014,1,1
JMT015,1,1
JMT016,1,1
JMT017,1,1
JMT018,1,1
JMT019,1,1
JMT020,1,1
JMT021,1,1
JMT022,1,1
BOT001,1,1
BOT002,1,1
BOT003,1,1
BOT004,1,1
BOT005,1,1
BOT006,1,1
BOT007,1,1
BOT008,1,1
BOT009,1,1
BOT010,1,1
BOT011,1,1
BOT012,1,1
BOT013,1,1
BOT014,1,1
PKH001,1,1
PKH002,1,1
