Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Size,Option2 Name,Option2 Value,Color,Option3 Name,Option3 Value,LogoColor,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Variant Image,Variant Weight Unit,Included / Sverige,Included / Internationell,Status,SKU,KICKBACK
timjans-brygghus-logo-beanie,Timjans Brygghus - Logo Beanie,<p><span>Stickad mössa i 100% akryl. Vävd etikett på front med logo.</span></p>,Timjans Brygghus,,Mössa,mössa,TRUE,Title,Default Title,,,,,,,,,200.0,shopify,0,continue,manual,229.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/Timjansmossa.webp?v=1693917068,1,,FALSE,,kg,TRUE,TRUE,active,TIM001,0.25
bryggverket-cuffed-beanie-graphite-grey,Bryggverket Cuffed Beanie Graphite Grey,"<p>Snygg beanie från Bryggverket. Vävd etikett på fronten med logga i svart. </p>
<p>Material: <span data-mce-fragment=""1"">100% polyakryl </span></p>",Bryggverket,,Mössa,,TRUE,Title,Default Title,,,,,,,,,150.0,shopify,0,continue,manual,229.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/bryggverket_Mossa_graphite_Grey.jpg?v=1693563449,1,,FALSE,,kg,TRUE,TRUE,active,BVK001,0.25
bryggverket-cuffed-beanie-svart,Bryggverket Cuffed Beanie Svart,"<p>Snygg beanie från Bryggverket. Vävd etikett på fronten med logga i svart. </p>
<p>Material: <span data-mce-fragment=""1"">100% polyakryl </span></p>",Bryggverket,,Mössa,,TRUE,Title,Default Title,,,,,,,,,150.0,shopify,0,continue,manual,229.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/bryggverket_Mossa_Svart.jpg?v=1693563319,1,,FALSE,,kg,TRUE,TRUE,active,BVK002,0.25
nynashamns-angbryggeri-olglas-20cl-6-pack,Nynäshamns Ångbryggeri - Ölglas 6-pack,"<p>Njut av din favorit öl från Nynäshamns ångbryggeri ur detta riktigt snygga ölglas!</p>
<p>Säljs även styckvis</p>",Nynäshamns Ångbryggeri,,,,TRUE,Storlek,Små - 20cl,Små - 20cl,,,,,,,,200.0,shopify,4,continue,manual,300.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/6-pack.jpg?v=1693288797,1,,FALSE,,kg,TRUE,TRUE,active,NYN001,0.25
nynashamns-angbryggeri-olglas-20cl-6-pack,,,,,,,,,Stora - 40cl,Stora - 40cl,,,,,,,,200.0,shopify,4,continue,manual,300.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
nynashamns-angbryggeri-olglas-20cl,Nynäshamns Ångbryggeri - Ölglas 20cl,"<p>Njut av din favorit öl från Nynäshamns ångbryggeri ur detta riktigt snygga ölglas!</p>
<p>Glasen rymmer 20cl</p>
<p>Säljs även i 6-pack*</p>",Nynäshamns Ångbryggeri,Metallprodukter > Byggnadsmaterial > Glas,Glas,75%kickback,TRUE,Title,Default Title,,,,,,,,,200.0,shopify,100,deny,manual,60.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/02glas.jpg?v=1693288396,1,,FALSE,,kg,TRUE,TRUE,active,NYN002,0.25
bryggverket-trucker-keps-navy-navy,Bryggverket - Trucker keps Navy/navy,"<meta charset=""utf-8"">
<p data-mce-fragment=""1"">Retro Trucker Cap med snapback baktill är en riktig klassiker bland kepsar. <br data-mce-fragment=""1"">6 panelskeps med på logga vänster panel fram.  </p>
<p data-mce-fragment=""1"">Tillverkad av 47% bomull, 28% nylon &amp; 25% Polyester. </p>",Bryggverket,,,,TRUE,Title,Default Title,,,,,,,,,100.0,shopify,0,continue,manual,289.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/BV009.webp?v=1693233539,1,,FALSE,,kg,TRUE,TRUE,active,BVK003,0.25
bryggverket-flat-peak-snapback-gra,Bryggverket - Flat Peak Snapback Grå,"<p>Flat Peak Snapback från Bryggverket. One size fits most. </p>
<p>Material: 100% polyester</p>",Bryggverket,,Keps,,TRUE,Title,Default Title,,,,,,,,,200.0,shopify,0,continue,manual,229.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/BV008.webp?v=1693233394,1,,FALSE,,kg,TRUE,TRUE,active,BVK004,0.25
bryggverket-sweatshirt-gra,Bryggverket - Sweatshirt Grå,"<p>Sweatshirt från Bryggverket. En tröja i raglan modell med tryck på bröstet. En skön sweatshirt för alla tillfällen. </p>
<p>Material: 74% bomull, 11% polyester &amp; 15% viskos. </p>",Bryggverket,,Sweatshirt,,TRUE,Storlek,S,S,,,,,,,JH030,400.0,shopify,0,continue,manual,429.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/BV007.webp?v=1693233232,1,,FALSE,,kg,TRUE,TRUE,active,BVK005,0.25
bryggverket-sweatshirt-gra,,,,,,,,,M,M,,,,,,,JH030,400.0,shopify,0,continue,manual,429.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-sweatshirt-gra,,,,,,,,,L,L,,,,,,,JH030,400.0,shopify,0,continue,manual,429.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-sweatshirt-gra,,,,,,,,,XL,XL,,,,,,,JH030,400.0,shopify,0,continue,manual,429.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-sweatshirt-gra,,,,,,,,,XXL,XXL,,,,,,,JH030,400.0,shopify,0,continue,manual,429.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-logo-hood-svart,Bryggverket - Logo Hood svart,"<p>Svart logo Hood från Bryggverket. En skön och behaglig hoodie för alla tillfällen. </p>
<p>Material: 80% bomull &amp; 20% polyester </p>",Bryggverket,,Hoodie,,TRUE,Storlek,S,S,,,,,,,JH001,500.0,shopify,0,continue,manual,459.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/BV006.webp?v=1693230179,1,,FALSE,,kg,TRUE,TRUE,active,BVK006,0.25
bryggverket-logo-hood-svart,,,,,,,,,M,M,,,,,,,JH001,500.0,shopify,0,continue,manual,459.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-logo-hood-svart,,,,,,,,,L,L,,,,,,,JH001,500.0,shopify,0,continue,manual,459.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-logo-hood-svart,,,,,,,,,XL,XL,,,,,,,JH001,500.0,shopify,0,continue,manual,459.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-logo-hood-svart,,,,,,,,,XXL,XXL,,,,,,,JH001,500.0,shopify,0,continue,manual,459.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-logo-hood-svart,,,,,,,,,3XL,3XL,,,,,,,JH001,500.0,shopify,0,continue,manual,459.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-tecken-t-shirt-navy,Bryggverket- Tecken t-shirt Navy,"<p>Marinblå t-shirt från Bryggverket med tryck över bröstet.</p>
<p>Material: 100% ekologisk bomull</p>",Bryggverket,,T-shirt,,TRUE,Storlek,S,S,,,,,,,ST103,200.0,shopify,0,continue,manual,259.00,,TRUE,TRUE,,https://cdn.shopify.com/s/files/1/0102/3478/9939/files/BV004.webp?v=1693230102,1,,FALSE,,kg,TRUE,TRUE,active,BVK007,0.25
bryggverket-tecken-t-shirt-navy,,,,,,,,,M,M,,,,,,,ST103,200.0,shopify,0,continue,manual,259.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
bryggverket-tecken-t-shirt-navy,,,,,,,,,L,L,,,,,,,ST103,200.0,shopify,0,continue,manual,259.00,,TRUE,TRUE,,,,,,,kg,,,,,0.25
